model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,mask_token,seed,n_shot,sample,mask_accuracy,accuracy
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,1.0000,0.9000
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.9500,0.7300
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.8300,0.1800
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.8100,0.6300
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.9700,0.7700
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.8800,0.4700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.7800,0.2200
FLAN-T5,google/flan-t5-xl,FP16,anli,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.8400,0.5300
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,1.0000,0.9100
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.9600,0.8200
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.8700,0.2300
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.8400,0.7000
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.9700,0.7600
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.7700,0.3400
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.7900,0.2400
FLAN-T5,google/flan-t5-xl,FP16,anli,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.6700,0.3100
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.9900,0.8700
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.9700,0.8300
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.8300,0.1700
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.7800,0.6500
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.9600,0.7500
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.7500,0.2700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.7500,0.2100
FLAN-T5,google/flan-t5-xl,FP16,anli,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.9000,0.6500
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,1.0000,0.8900
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.9700,0.8700
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.7800,0.2100
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.7600,0.6300
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.9800,0.7800
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.7900,0.2700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.8300,0.2200
FLAN-T5,google/flan-t5-xl,FP16,anli,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,0.8000,0.5300
FLAN-T5,google/flan-t5-xl,FP16,cqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,1.0000,0.9200
FLAN-T5,google/flan-t5-xl,FP16,siqa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,1.0000,0.8300
FLAN-T5,google/flan-t5-xl,FP16,logical_deduction_five_objects,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,0.7400,0.1500
FLAN-T5,google/flan-t5-xl,FP16,disambiguation_qa,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,0.8000,0.6200
FLAN-T5,google/flan-t5-xl,FP16,conceptual_combinations,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,0.9700,0.7700
FLAN-T5,google/flan-t5-xl,FP16,strange_stories,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,0.7500,0.2700
FLAN-T5,google/flan-t5-xl,FP16,symbol_interpretation,16,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,0.8000,0.1900
